[01-06-23 04:08:48.615] WARN : Script      , 1685585328615> VehicleScript.Loaded> vehicle "TrailerHomeHartman" extents != physicsChassisShape.
[01-06-23 04:08:48.616] WARN : Script      , 1685585328616> VehicleScript.Loaded> vehicle "TrailerHomeExplorer" extents != physicsChassisShape.
[01-06-23 04:08:48.617] WARN : Script      , 1685585328617> VehicleScript.Loaded> vehicle "TrailerHome" extents != physicsChassisShape.
[01-06-23 04:08:48.618] WARN : Script      , 1685585328618> VehicleScript.Loaded> vehicle "TrailerKbac" extents != physicsChassisShape.
[01-06-23 04:08:48.619] LOG  : General     , 1685585328619> adding unknown item param "--WorldStaticModel" = "Rotators.WaterTrailerTankPumpWI".
[01-06-23 04:08:48.621] WARN : Script      , 1685585328621> VehicleScript.Loaded> vehicle "TrailerWaterBig" extents != physicsChassisShape.
[01-06-23 04:08:48.621] WARN : Script      , 1685585328621> VehicleScript.Loaded> vehicle "TrailerWaterSmall" extents != physicsChassisShape.
[01-06-23 04:08:48.623] WARN : Script      , 1685585328623> VehicleScript.Loaded> vehicle "TrailerForBoat" extents != physicsChassisShape.
[01-06-23 04:08:48.628] WARN : Script      , 1685585328628> VehicleScript.Loaded> vehicle "TrailerM747lowbed" extents != physicsChassisShape.
[01-06-23 04:08:48.630] WARN : Script      , 1685585328630> VehicleScript.Loaded> vehicle "TrailerWithBoatMotor" extents != physicsChassisShape.
[01-06-23 04:08:48.631] WARN : Script      , 1685585328631> VehicleScript.Loaded> vehicle "TrailerWithBoatSailingYacht" extents != physicsChassisShape.
[01-06-23 04:08:48.647] WARN : Script      , 1685585328647> ScriptModule.CreateFromToken> unknown script object "////

fixing".
[01-06-23 04:08:48.677] WARN : Recipe      , 1685585328677> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base.
[01-06-23 04:08:48.678] WARN : Recipe      , 1685585328678> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Animations" in recipe "Picklock".
[01-06-23 04:08:48.678] WARN : Recipe      , 1685585328678> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Animations" in recipe "Picklock".
[01-06-23 04:08:48.679] WARN : Recipe      , 1685585328679> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Animations" in recipe "CrowbarAction".
[01-06-23 04:08:48.679] WARN : Recipe      , 1685585328679> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Animations" in recipe "CrowbarAction".
[01-06-23 04:08:48.679] WARN : Recipe      , 1685585328679> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Animations" in recipe "CrowbarGarageAction".
[01-06-23 04:08:48.679] WARN : Recipe      , 1685585328679> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Animations" in recipe "CrowbarGarageAction".
[01-06-23 04:08:48.680] WARN : Recipe      , 1685585328680> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "AlicePack" in recipe "Add Frame SnakeAlice".
[01-06-23 04:08:48.680] WARN : Recipe      , 1685585328680> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack3" in recipe "Add Frame SnakeAlice".
[01-06-23 04:08:48.680] WARN : Recipe      , 1685585328680> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack3b" in recipe "Add Frame SnakeAlice".
[01-06-23 04:08:48.681] WARN : Recipe      , 1685585328681> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack1" in recipe "Remove Frame SnakeAlice".
[01-06-23 04:08:48.681] WARN : Recipe      , 1685585328681> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack2" in recipe "Remove Frame SnakeAlice".
[01-06-23 04:08:48.681] WARN : Recipe      , 1685585328681> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack2b" in recipe "Remove Frame SnakeAlice".
[01-06-23 04:08:48.681] WARN : Recipe      , 1685585328681> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "AlicePack" in recipe "Add Pouch SnakeAlice".
[01-06-23 04:08:48.682] WARN : Recipe      , 1685585328682> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack1" in recipe "Add Pouch SnakeAlice".
[01-06-23 04:08:48.682] WARN : Recipe      , 1685585328682> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack3" in recipe "Remove Pouch SnakeAlice".
[01-06-23 04:08:48.682] WARN : Recipe      , 1685585328682> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack3b" in recipe "Remove Pouch SnakeAlice".
[01-06-23 04:08:48.682] WARN : Recipe      , 1685585328682> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack2" in recipe "Remove Pouch SnakeAlice".
[01-06-23 04:08:48.683] WARN : Recipe      , 1685585328683> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "UpgradedAlicePack2b" in recipe "Remove Pouch SnakeAlice".
[01-06-23 04:08:48.683] WARN : Recipe      , 1685585328683> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Yellowcrowbar" in recipe "Strip paint from crowbar".
[01-06-23 04:08:48.683] WARN : Recipe      , 1685585328683> RecipeManager.resolveItemModuleDotType> WARNING: module "EHE" may have forgot to import module Base.
[01-06-23 04:08:48.684] WARN : Recipe      , 1685585328684> RecipeManager.resolveItemModuleDotType> WARNING: module "FencingKit" may have forgot to import module Base.
[01-06-23 04:08:48.684] WARN : Recipe      , 1685585328684> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Meade_Black" in recipe "Remove Airtank".
[01-06-23 04:08:48.684] WARN : Recipe      , 1685585328684> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Meade_Khaki" in recipe "Remove Airtank".
[01-06-23 04:08:48.685] WARN : Recipe      , 1685585328685> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Rosewood_Black" in recipe "Remove Airtank".
[01-06-23 04:08:48.685] WARN : Recipe      , 1685585328685> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Rosewood_Khaki" in recipe "Remove Airtank".
[01-06-23 04:08:48.685] WARN : Recipe      , 1685585328685> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Louisville_Black" in recipe "Remove Airtank".
[01-06-23 04:08:48.685] WARN : Recipe      , 1685585328685> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Jacket_Fireman_Louisville_Khaki" in recipe "Remove Airtank".
[01-06-23 04:08:48.686] WARN : Recipe      , 1685585328686> RecipeManager.resolveItemModuleDotType> WARNING: module "TW" may have forgot to import module Base.
[01-06-23 04:08:48.686] WARN : Recipe      , 1685585328686> RecipeManager.resolveItemModuleDotType> WARNING: module "Packing" may have forgot to import module Base.
[01-06-23 04:08:48.686] WARN : Recipe      , 1685585328686> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "10gShotgunShellsBox" in recipe "Pack 10".
[01-06-23 04:08:48.687] WARN : Recipe      , 1685585328687> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "10gShotgunShellsBox" in recipe "Unpack 10".
[01-06-23 04:08:48.687] WARN : Recipe      , 1685585328687> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "10gShotgunShellsBox" in recipe "Pack 5".
[01-06-23 04:08:48.687] WARN : Recipe      , 1685585328687> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "10gShotgunShellsBox" in recipe "Unpack 5".
[01-06-23 04:08:48.687] WARN : Recipe      , 1685585328687> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "20gShotgunShellsBox" in recipe "Pack 10".
[01-06-23 04:08:48.688] WARN : Recipe      , 1685585328688> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "20gShotgunShellsBox" in recipe "Unpack 10".
[01-06-23 04:08:48.688] WARN : Recipe      , 1685585328688> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "20gShotgunShellsBox" in recipe "Pack 5".
[01-06-23 04:08:48.688] WARN : Recipe      , 1685585328688> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "20gShotgunShellsBox" in recipe "Unpack 5".
[01-06-23 04:08:48.688] WARN : Recipe      , 1685585328688> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets22Box" in recipe "Pack 10".
[01-06-23 04:08:48.689] WARN : Recipe      , 1685585328689> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets22Box" in recipe "Unpack 10".
