[29-05-23 00:39:20.810] reason = RBBurntCorpse x,y,z = 6309,5330,0 room = bathroom
reason = RBBurntCorpse x,y,z = 6314,5333,0 room = kitchen
reason = RBBurntCorpse x,y,z = 6315,5334,0 room = bedroom
reason = RBBurntCorpse x,y,z = 6313,5335,0 room = bedroom
reason = createEatingZombies x,y,z = 6226,5349,0
reason = createEatingZombies x,y,z = 6227,5349,0
reason = createEatingZombies x,y,z = 6186,5284,0
reason = RDSPoliceAtHouse x,y,z = 6197,5422,0 room = livingroom
reason = RDSPoliceAtHouse x,y,z = 6198,5423,0 room = livingroom
reason = RDSPoliceAtHouse x,y,z = 6197,5423,0 room = livingroom
reason = RDSPoliceAtHouse x,y,z = 6216,5416,0
reason = RDSPoliceAtHouse x,y,z = 6216,5416,0.
[29-05-23 00:39:51.151] ================================================================================.
[29-05-23 00:41:27.151] ================================================================================.
[29-05-23 00:42:21.864] reason = RBSafehouse x,y,z = 6324,5420,0 room = livingroom
reason = RBSafehouse x,y,z = 6333,5419,0 room = bedroom
reason = RBSafehouse x,y,z = 6328,5420,0 room = livingroom
reason = RBSafehouse x,y,z = 6327,5422,0 room = livingroom
reason = RBSafehouse x,y,z = 6330,5422,0 room = kitchen
reason = RDSBandPractice x,y,z = 6287,5504,0 room = garage
reason = RDSBandPractice x,y,z = 6284,5503,0 room = garage
reason = RDSTinFoilHat x,y,z = 6295,5426,0 room = livingroom
reason = RDSTinFoilHat x,y,z = 6295,5425,0 room = livingroom
reason = createEatingZombies x,y,z = 6270,5377,0 room = livingroom.
