DEBUG: General     , 1688682227334> LoggerManager.init                  > Initializing...
LOG  : General     , 1688682227394> cachedir set to "C:\Users\User\Zomboid"
LOG  : General     , 1688682227400> 07-07-2023 00:23:47
LOG  : General     , 1688682227401> cachedir is "C:\Users\User\Zomboid"
LOG  : General     , 1688682227402> LogFileDir is "C:\Users\User\Zomboid\Logs"
LOG  : General     , 1688682227402> ===== System specs =====
LOG  : General     , 1688682227404> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1688682227405> Processor: AMD64 Family 23 Model 8 Stepping 2, AuthenticAMD
LOG  : General     , 1688682227406> Processor cores: 16
LOG  : General     , 1688682227408> Available processors (cores): 16
LOG  : General     , 1688682227410> Memory free: 358.54062 MB
LOG  : General     , 1688682227411> Memory max: 3072.0 MB
LOG  : General     , 1688682227411> Memory  total available to JVM: 384.0 MB
LOG  : General     , 1688682227416> C:\, Total: 460.36273 GB, Free: 253.96738 GB
LOG  : General     , 1688682227417> D:\, Total: 931.51074 GB, Free: 240.41873 GB
LOG  : General     , 1688682227418> E:\, Total: 1863.0146 GB, Free: 216.82335 GB
LOG  : General     , 1688682227419> F:\, Total: 3726.0059 GB, Free: 2191.0354 GB
LOG  : General     , 1688682227419> G:\, Total: 2.0304184 GB, Free: 1.9993858 GB
LOG  : General     , 1688682227639> Mobo = [Product=TUF B450M-PLUS GAMING]
LOG  : General     , 1688682227861> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3700,Name=AMD Ryzen 7 2700X Eight-Core Processor]
LOG  : General     , 1688682228093> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.3623,Name=NVIDIA GeForce RTX 2060 SUPER]
LOG  : General     , 1688682228312> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1688682228573> Sound = { [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=Microsoft,Name=High Definition Audio Device], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Dev47Apps.com,Name=DroidCam Virtual Audio], [Manufacturer=Virtual Desktop,Name=Virtual Desktop Audio] }
LOG  : General     , 1688682228778> Memory RAM = { [Capacity=8589934592,Manufacturer=Kingston], [Capacity=8589934592,Manufacturer=Kingston], [Capacity=8589934592,Manufacturer=Kingston] }
LOG  : General     , 1688682228779> ========================
LOG  : General     , 1688682228780> -- listing properties --
LOG  : General     , 1688682228780> java.specification.version=17
LOG  : General     , 1688682228781> sun.cpu.isalist=amd64
LOG  : General     , 1688682228781> sun.jnu.encoding=MS932
LOG  : General     , 1688682228781> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1688682228782> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1688682228782> sun.arch.data.model=64
LOG  : General     , 1688682228783> user.variant=
LOG  : General     , 1688682228783> java.vendor.url=http://www.azul.com/
LOG  : General     , 1688682228784> user.timezone=Europe/Zagreb
LOG  : General     , 1688682228784> zomboid.steam=1
LOG  : General     , 1688682228784> java.vm.specification.version=17
LOG  : General     , 1688682228785> os.name=Windows 10
LOG  : General     , 1688682228785> user.country=GB
LOG  : General     , 1688682228785> sun.boot.library.path=F:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1688682228786> zomboid.znetlog=1
LOG  : General     , 1688682228786> jdk.debug=release
LOG  : General     , 1688682228786> sun.cpu.endian=little
LOG  : General     , 1688682228787> user.home=C:\Users\User
LOG  : General     , 1688682228787> user.language=en
LOG  : General     , 1688682228788> java.specification.vendor=Oracle Corporation
LOG  : General     , 1688682228788> java.version.date=2021-10-19
LOG  : General     , 1688682228788> java.home=F:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1688682228788> file.separator=\
LOG  : General     , 1688682228789> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1688682228789> line.separator=

LOG  : General     , 1688682228790> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1688682228790> java.specification.name=Java Platform API Specification
LOG  : General     , 1688682228790> java.awt.headless=true
LOG  : General     , 1688682228791> user.script=
LOG  : General     , 1688682228791> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1688682228791> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1688682228792> user.name=User
LOG  : General     , 1688682228792> path.separator=;
LOG  : General     , 1688682228793> os.version=10.0
LOG  : General     , 1688682228793> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1688682228793> file.encoding=Cp1252
LOG  : General     , 1688682228794> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1688682228794> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1688682228795> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1688682228795> java.io.tmpdir=C:\Users\User\AppData\Local\Temp\
LOG  : General     , 1688682228795> java.version=17.0.1
LOG  : General     , 1688682228796> user.dir=F:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1688682228796> os.arch=amd64
LOG  : General     , 1688682228797> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1688682228797> sun.os.patch.level=
LOG  : General     , 1688682228797> native.encoding=Cp1252
LOG  : General     , 1688682228798> java.library.path=win64/;.
LOG  : General     , 1688682228798> java.vm.info=mixed mode, sharing
LOG  : General     , 1688682228798> java.vendor=Azul Systems, Inc.
LOG  : General     , 1688682228799> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1688682228799> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1688682228799> java.class.version=61.0
LOG  : General     , 1688682228800> -----
LOG  : General     , 1688682228800> version=41.78.16 demo=false
LOG  : General     , 1688682229185> LightingFPS set to 60
LOG  : General     , 1688682229186> [javafmodJNI] Init: Start
LOG  : General     , 1688682229187> [javafmodJNI] Init: WIN 64
LOG  : General     , 1688682229225> closest width=640 freq=59
LOG  : General     , 1688682229225> closest width=640 freq=60
LOG  : General     , 1688682229226> closest width=640 freq=72
LOG  : General     , 1688682229226> closest width=640 freq=75
LOG  : General     , 1688682229227> closest width=640 freq=100
LOG  : General     , 1688682229227> closest width=640 freq=119
LOG  : General     , 1688682229227> closest width=640 freq=120
LOG  : General     , 1688682229227> closest width=640 freq=144
LOG  : General     , 1688682229228> closest width=720 freq=59
LOG  : General     , 1688682229228> closest width=720 freq=60
LOG  : General     , 1688682229228> closest width=720 freq=100
LOG  : General     , 1688682229229> closest width=720 freq=119
LOG  : General     , 1688682229229> closest width=720 freq=120
LOG  : General     , 1688682229230> closest width=720 freq=144
LOG  : General     , 1688682229230> closest width=800 freq=56
LOG  : General     , 1688682229230> closest width=800 freq=60
LOG  : General     , 1688682229231> closest width=800 freq=72
LOG  : General     , 1688682229231> closest width=800 freq=75
LOG  : General     , 1688682229231> closest width=800 freq=100
LOG  : General     , 1688682229232> closest width=800 freq=119
LOG  : General     , 1688682229232> closest width=800 freq=120
LOG  : General     , 1688682229232> closest width=800 freq=144
LOG  : General     , 1688682229232> closest width=1176 freq=50
LOG  : General     , 1688682229233> closest width=1176 freq=59
LOG  : General     , 1688682229233> closest width=1176 freq=60
LOG  : General     , 1688682229233> closest width=1280 freq=50
LOG  : General     , 1688682229234> closest width=1280 freq=59
LOG  : General     , 1688682229234> closest width=1280 freq=60
LOG  : General     , 1688682229234> closest width=1280 freq=100
